City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
292,kataba,13.9833,44.3833,22.99,37,79,2.19,YE,1708157003
293,punto fijo,11.6956,-70.1996,25.52,85,40,12.98,VE,1708157004
294,guatrache,-37.6678,-63.5302,18.77,64,0,5.53,AR,1708157005
295,ancud,-41.8697,-73.8203,10.77,86,10,1.59,CL,1708156636
296,longyearbyen,78.2186,15.6401,-10.09,67,75,9.77,SJ,1708157006
297,saminaka,10.414,8.6828,23.78,19,95,3.06,NG,1708157006
298,nuku'alofa,-21.1333,-175.2,25.19,88,75,4.63,TO,1708156847
299,mantua,45.1667,10.7833,7.58,73,81,0.3,IT,1708157007
300,agrestina,-8.4581,-35.9447,23.31,86,100,0.21,BR,1708157008
301,kodinsk,58.6881,99.1844,-23.24,85,100,1.8,RU,1708157009
302,tateyama,34.9833,139.8667,12.28,67,100,5.57,JP,1708157009
303,san jeronimo,-11.9472,-75.2829,9.75,87,100,1.31,PE,1708157010
304,calama,-22.4667,-68.9333,14.27,38,0,7.2,CL,1708156835
305,papao,-17.75,-149.55,27.82,76,100,8.77,PF,1708157011
306,kalifornsky,60.4183,-151.29,-2.56,85,68,3.44,US,1708157012
307,vikulovo,56.8167,70.6107,-16.72,87,58,3.9,RU,1708157012
308,sydney,-33.8679,151.2073,27.98,73,75,5.14,AU,1708156373
309,saudarkrokur,65.7461,-19.6394,-3.41,75,100,3.31,IS,1708156533
310,al kharj,24.155,47.3346,22.32,29,0,5.73,SA,1708157014
311,arraial do cabo,-22.9661,-42.0278,23.99,86,4,7.49,BR,1708156505
312,rabo de peixe,37.8,-25.5833,17.77,99,75,7.2,PT,1708156419
313,bishkul,54.7803,69.1033,-21.81,71,68,3.0,KZ,1708157016
314,east london,-33.0153,27.9116,23.52,43,0,6.69,ZA,1708156814
315,ekuvukeni,-28.4675,30.1551,25.18,61,89,0.81,ZA,1708157017
316,kimbe,-5.5502,150.1429,27.88,85,100,0.77,PG,1708157017
317,mermoz boabab,14.7065,-17.4758,22.88,88,0,3.09,SN,1708157019
318,san antonio oeste,-40.7319,-64.9477,26.41,40,48,10.32,AR,1708156833
319,zhosaly,45.4878,64.0781,-7.91,23,82,12.55,KZ,1708157020
320,tucurui,-3.7661,-49.6725,23.63,99,100,0.89,BR,1708157020
321,sao jose da coroa grande,-8.8978,-35.1478,26.68,84,92,2.83,BR,1708157021
322,surab,28.4914,66.2585,17.75,22,87,2.17,PK,1708157022
323,brady,31.1352,-99.3351,5.76,65,0,7.2,US,1708157023
324,pisco,-13.7,-76.2167,24.03,78,20,1.54,PE,1708156490
325,sena madureira,-9.0656,-68.6569,23.17,97,100,0.66,BR,1708157024
